Date,District,Latitude,Longitude,Temperature_Max_C,Temperature_Min_C,Temperature_Avg_C,Humidity_Percent,Rainfall_mm,Wind_Speed_kmh,Weather_Condition,Season
2020-01-02,Paschim Medinipur,22.4291,87.3219,22.2,11.5,16.9,63,0.2,12.6,Partly Cloudy,Winter
2020-01-02,Purba Medinipur,22.0209,87.7698,25.3,13.2,19.2,67,0,12.6,Sunny,Winter
2020-01-02,Jhargram,22.4534,86.9851,23.8,11.9,17.9,68,0,13.9,Sunny,Winter
2020-01-02,Kalimpong,27.0594,88.4686,14.6,6.7,10.7,72,0,8.7,Cloudy,Winter
2020-01-03,Kolkata,22.5726,88.3639,24.7,12.1,18.4,73,0,12.7,Sunny,Winter
2020-01-03,Howrah,22.5958,88.2636,23.4,14.0,18.7,74,0,13.7,Sunny,Winter
2020-01-03,Hooghly,22.9089,88.3967,23.7,12.3,18.0,70,0,12.7,Partly Cloudy,Winter
2020-01-03,North 24 Parganas,22.6157,88.4332,23.4,13.1,18.2,73,0,13.4,Sunny,Winter
2020-01-03,South 24 Parganas,22.1602,88.4373,24.2,13.9,19.1,70,0,11.9,Partly Cloudy,Winter
2020-01-03,Nadia,23.4709,88.5564,23.8,12.9,18.4,72,0,10.9,Partly Cloudy,Winter
2020-01-03,Murshidabad,24.1833,88.2833,25.2,13.1,19.1,65,0,9.6,Sunny,Winter
2020-01-03,Bardhaman East,23.2324,87.8615,26.7,15.1,20.9,68,0,11.3,Cloudy,Winter
2020-01-03,Bardhaman West,23.5522,87.3784,25.2,13.1,19.1,67,1.1,12.9,Drizzle,Winter
2020-01-03,Birbhum,23.8404,87.6186,23.6,13.8,18.7,65,0,9.6,Sunny,Winter
2020-01-03,Malda,25.0096,88.1413,24.4,14.0,19.2,72,0,11.5,Cloudy,Winter
2020-01-03,Uttar Dinajpur,25.622,88.1413,24.5,12.1,18.3,63,0,11.2,Sunny,Winter
2020-01-03,Dakshin Dinajpur,25.2195,88.7749,24.0,14.2,19.1,67,0.6,11.3,Drizzle,Winter
2020-01-03,Jalpaiguri,26.5263,88.7184,19.1,8.3,13.7,68,0,11.2,Cloudy,Winter
2020-01-03,Darjeeling,27.041,88.2663,13.1,3.8,8.4,63,1.1,9.8,Drizzle,Winter
2020-01-03,Alipurduar,26.4911,89.5276,18.2,10.1,14.1,64,0,8.7,Sunny,Winter
2020-01-03,Cooch Behar,26.324,89.445,26.4,14.5,20.4,66,0,13.2,Sunny,Winter
2020-01-03,Bankura,23.2324,87.0696,23.0,13.8,18.4,63,0,8.5,Sunny,Winter
2020-01-03,Purulia,23.3321,86.3616,23.3,10.6,16.9,67,0,9.2,Cloudy,Winter
2020-01-03,Paschim Medinipur,22.4291,87.3219,24.7,13.5,19.1,71,0,8.8,Partly Cloudy,Winter
2020-01-03,Purba Medinipur,22.0209,87.7698,26.1,14.8,20.5,76,0,12.5,Sunny,Winter
2020-01-03,Jhargram,22.4534,86.9851,24.7,11.4,18.1,66,1.3,10.8,Drizzle,Winter
2020-01-03,Kalimpong,27.0594,88.4686,11.2,3.2,7.2,70,1.5,11.4,Drizzle,Winter
2020-01-04,Kolkata,22.5726,88.3639,25.0,12.8,18.9,71,0,12.8,Sunny,Winter
2020-01-04,Howrah,22.5958,88.2636,23.5,13.6,18.6,75,0,11.1,Cloudy,Winter
2020-01-04,Hooghly,22.9089,88.3967,25.0,15.6,20.3,68,0,13.9,Partly Cloudy,Winter
2020-01-04,North 24 Parganas,22.6157,88.4332,26.8,12.9,19.9,76,0,10.8,Sunny,Winter
2020-01-04,South 24 Parganas,22.1602,88.4373,25.4,15.9,20.6,72,0,10.3,Sunny,Winter
2020-01-04,Nadia,23.4709,88.5564,25.3,13.0,19.1,71,0,12.0,Partly Cloudy,Winter
2020-01-04,Murshidabad,24.1833,88.2833,23.8,15.4,19.6,65,0,8.8,Cloudy,Winter
2020-01-04,Bardhaman East,23.2324,87.8615,24.3,13.7,19.0,68,0,13.0,Sunny,Winter
2020-01-04,Bardhaman West,23.5522,87.3784,23.1,12.7,17.9,68,0,8.9,Partly Cloudy,Winter
2020-01-04,Birbhum,23.8404,87.6186,26.6,12.6,19.6,69,0,13.2,Sunny,Winter
2020-01-04,Malda,25.0096,88.1413,26.9,15.1,21.0,68,1.6,11.8,Drizzle,Winter
2020-01-04,Uttar Dinajpur,25.622,88.1413,25.5,15.9,20.7,63,0,11.8,Sunny,Winter
2020-01-04,Dakshin Dinajpur,25.2195,88.7749,25.2,14.4,19.8,65,0,10.6,Sunny,Winter
2020-01-04,Jalpaiguri,26.5263,88.7184,19.1,9.2,14.2,72,0,13.0,Partly Cloudy,Winter
2020-01-04,Darjeeling,27.041,88.2663,11.8,6.9,9.4,69,0,10.5,Sunny,Winter
2020-01-04,Alipurduar,26.4911,89.5276,18.9,10.6,14.8,67,0,11.8,Sunny,Winter
2020-01-04,Cooch Behar,26.324,89.445,22.2,12.7,17.4,66,10.1,11.4,Light Rain,Winter
2020-01-04,Bankura,23.2324,87.0696,24.0,10.3,17.1,72,0,13.6,Cloudy,Winter
2020-01-04,Purulia,23.3321,86.3616,22.4,11.3,16.9,66,0,9.3,Sunny,Winter
2020-01-04,Paschim Medinipur,22.4291,87.3219,23.1,12.5,17.8,65,0,8.2,Sunny,Winter
2020-01-04,Purba Medinipur,22.0209,87.7698,26.0,12.4,19.2,69,0,11.1,Sunny,Winter
2020-01-04,Jhargram,22.4534,86.9851,23.8,10.5,17.1,69,0,13.9,Sunny,Winter
2020-01-04,Kalimpong,27.0594,88.4686,13.2,4.8,9.0,65,0,13.7,Sunny,Winter
2020-01-05,Kolkata,22.5726,88.3639,23.1,12.7,17.9,73,0.1,12.3,Sunny,Winter
2020-01-05,Howrah,22.5958,88.2636,23.2,14.5,18.9,68,1.7,13.4,Drizzle,Winter
2020-01-05,Hooghly,22.9089,88.3967,26.4,12.3,19.4,76,0.6,13.3,Drizzle,Winter
2020-01-05,North 24 Parganas,22.6157,88.4332,24.6,12.0,18.3,73,0,9.7,Sunny,Winter
2020-01-05,South 24 Parganas,22.1602,88.4373,24.9,14.4,19.6,78,14.4,9.3,Light Rain,Winter
2020-01-05,Nadia,23.4709,88.5564,22.5,15.2,18.9,73,11.6,9.9,Light Rain,Winter
2020-01-05,Murshidabad,24.1833,88.2833,25.0,15.9,20.4,72,2.5,13.4,Drizzle,Winter
2020-01-05,Bardhaman East,23.2324,87.8615,24.1,15.9,20.0,72,0,11.6,Cloudy,Winter
2020-01-05,Bardhaman West,23.5522,87.3784,24.7,13.8,19.2,70,0.7,8.8,Drizzle,Winter
2020-01-05,Birbhum,23.8404,87.6186,24.3,13.1,18.7,63,0.8,9.8,Drizzle,Winter
2020-01-05,Malda,25.0096,88.1413,26.3,15.5,20.9,70,0.8,12.7,Drizzle,Winter
2020-01-05,Uttar Dinajpur,25.622,88.1413,26.4,14.6,20.5,63,0,12.9,Sunny,Winter
2020-01-05,Dakshin Dinajpur,25.2195,88.7749,25.3,15.5,20.4,64,1.1,10.4,Drizzle,Winter
2020-01-05,Jalpaiguri,26.5263,88.7184,20.6,8.3,14.5,68,1.4,10.1,Drizzle,Winter
2020-01-05,Darjeeling,27.041,88.2663,13.7,4.0,8.8,70,1.8,9.3,Drizzle,Winter
2020-01-05,Alipurduar,26.4911,89.5276,20.9,11.2,16.0,63,0.5,8.5,Cloudy,Winter
2020-01-05,Cooch Behar,26.324,89.445,24.9,13.3,19.1,69,0,11.5,Sunny,Winter
2020-01-05,Bankura,23.2324,87.0696,24.3,11.2,17.8,64,1.5,11.1,Drizzle,Winter
2020-01-05,Purulia,23.3321,86.3616,21.1,13.6,17.4,67,0.1,11.5,Sunny,Winter
2020-01-05,Paschim Medinipur,22.4291,87.3219,23.3,11.5,17.4,67,1.7,11.4,Drizzle,Winter
2020-01-05,Purba Medinipur,22.0209,87.7698,25.7,15.3,20.5,72,0,10.0,Sunny,Winter
2020-01-05,Jhargram,22.4534,86.9851,21.6,14.0,17.8,63,0.9,12.2,Drizzle,Winter
2020-01-05,Kalimpong,27.0594,88.4686,11.1,4.7,7.9,65,0,9.7,Partly Cloudy,Winter
2020-01-06,Kolkata,22.5726,88.3639,25.4,12.6,19.0,70,0,9.5,Partly Cloudy,Winter
2020-01-06,Howrah,22.5958,88.2636,26.7,14.7,20.7,67,0,8.3,Sunny,Winter
2020-01-06,Hooghly,22.9089,88.3967,25.9,12.9,19.4,74,3.1,11.8,Drizzle,Winter
2020-01-06,North 24 Parganas,22.6157,88.4332,26.7,13.2,19.9,71,0,9.9,Sunny,Winter
2020-01-06,South 24 Parganas,22.1602,88.4373,24.9,13.7,19.3,71,1.2,11.8,Drizzle,Winter
2020-01-06,Nadia,23.4709,88.5564,24.4,13.5,18.9,69,0.1,12.8,Sunny,Winter
2020-01-06,Murshidabad,24.1833,88.2833,24.4,13.2,18.8,69,0,11.6,Cloudy,Winter
2020-01-06,Bardhaman East,23.2324,87.8615,23.3,15.2,19.2,65,0,13.7,Cloudy,Winter
2020-01-06,Bardhaman West,23.5522,87.3784,23.7,15.2,19.4,66,0,9.5,Partly Cloudy,Winter
2020-01-06,Birbhum,23.8404,87.6186,24.2,12.7,18.4,70,0.1,12.0,Partly Cloudy,Winter
2020-01-06,Malda,25.0096,88.1413,24.6,15.4,20.0,68,0,11.7,Cloudy,Winter
2020-01-06,Uttar Dinajpur,25.622,88.1413,23.7,12.6,18.1,66,1.5,12.5,Drizzle,Winter
2020-01-06,Dakshin Dinajpur,25.2195,88.7749,25.3,12.4,18.9,69,1.7,8.1,Drizzle,Winter
2020-01-06,Jalpaiguri,26.5263,88.7184,19.3,10.3,14.8,72,0,8.7,Sunny,Winter
2020-01-06,Darjeeling,27.041,88.2663,13.7,5.7,9.7,66,0,10.0,Sunny,Winter
2020-01-06,Alipurduar,26.4911,89.5276,17.7,11.3,14.5,67,1.9,12.6,Drizzle,Winter
2020-01-06,Cooch Behar,26.324,89.445,25.7,12.9,19.3,70,1.3,9.1,Drizzle,Winter
2020-01-06,Bankura,23.2324,87.0696,22.0,11.0,16.5,72,1.5,8.7,Drizzle,Winter
2020-01-06,Purulia,23.3321,86.3616,22.8,10.9,16.9,70,0,9.0,Partly Cloudy,Winter
2020-01-06,Paschim Medinipur,22.4291,87.3219,21.8,11.9,16.9,66,0,10.0,Partly Cloudy,Winter
2020-01-06,Purba Medinipur,22.0209,87.7698,24.4,14.3,19.4,72,0,9.6,Cloudy,Winter
2020-01-06,Jhargram,22.4534,86.9851,22.0,12.1,17.1,70,0,13.6,Cloudy,Winter
2020-01-06,Kalimpong,27.0594,88.4686,13.4,5.9,9.7,65,0,11.1,Partly Cloudy,Winter
2020-01-07,Kolkata,22.5726,88.3639,26.1,14.9,20.5,73,0,12.4,Sunny,Winter
2020-01-07,Howrah,22.5958,88.2636,24.2,14.2,19.2,74,0,13.0,Sunny,Winter
2020-01-07,Hooghly,22.9089,88.3967,25.9,14.3,20.1,72,1.3,11.7,Drizzle,Winter
2020-01-07,North 24 Parganas,22.6157,88.4332,25.4,14.1,19.8,74,1.1,11.7,Drizzle,Winter
2020-01-07,South 24 Parganas,22.1602,88.4373,24.7,14.4,19.6,74,0.6,10.8,Drizzle,Winter
2020-01-07,Nadia,23.4709,88.5564,26.9,13.2,20.0,67,0,10.0,Sunny,Winter
2020-01-07,Murshidabad,24.1833,88.2833,25.6,13.1,19.4,70,0,12.0,Partly Cloudy,Winter
2020-01-07,Bardhaman East,23.2324,87.8615,25.0,14.6,19.8,69,0.4,11.5,Sunny,Winter
2020-01-07,Bardhaman West,23.5522,87.3784,25.7,14.3,20.0,69,0,13.2,Partly Cloudy,Winter
2020-01-07,Birbhum,23.8404,87.6186,25.6,13.4,19.5,64,0,8.4,Cloudy,Winter
2020-01-07,Malda,25.0096,88.1413,25.3,14.4,19.9,68,0,10.8,Sunny,Winter
2020-01-07,Uttar Dinajpur,25.622,88.1413,23.9,12.8,18.4,66,0,12.3,Sunny,Winter
2020-01-07,Dakshin Dinajpur,25.2195,88.7749,24.5,14.3,19.4,64,0,12.9,Sunny,Winter
2020-01-07,Jalpaiguri,26.5263,88.7184,19.5,11.9,15.7,70,0,13.6,Cloudy,Winter
2020-01-07,Darjeeling,27.041,88.2663,12.3,3.2,7.8,70,0,9.1,Sunny,Winter
2020-01-07,Alipurduar,26.4911,89.5276,20.7,9.3,15.0,68,0,13.7,Sunny,Winter
2020-01-07,Cooch Behar,26.324,89.445,24.6,13.3,19.0,67,0,9.6,Cloudy,Winter
2020-01-07,Bankura,23.2324,87.0696,24.2,10.0,17.1,65,0,8.7,Cloudy,Winter
2020-01-07,Purulia,23.3321,86.3616,21.4,11.8,16.6,65,0,11.9,Cloudy,Winter
2020-01-07,Paschim Medinipur,22.4291,87.3219,22.3,10.3,16.3,71,0,12.3,Sunny,Winter
2020-01-07,Purba Medinipur,22.0209,87.7698,25.7,15.3,20.5,74,1.4,11.1,Drizzle,Winter
2020-01-07,Jhargram,22.4534,86.9851,24.5,10.6,17.6,63,0,13.8,Sunny,Winter
2020-01-07,Kalimpong,27.0594,88.4686,14.4,3.8,9.1,64,0,8.7,Sunny,Winter
2020-01-08,Kolkata,22.5726,88.3639,26.3,15.3,20.8,74,0,12.0,Sunny,Winter
2020-01-08,Howrah,22.5958,88.2636,23.0,15.2,19.1,74,0.9,11.7,Drizzle,Winter
2020-01-08,Hooghly,22.9089,88.3967,26.8,12.3,19.6,68,0,12.5,Partly Cloudy,Winter
2020-01-08,North 24 Parganas,22.6157,88.4332,25.1,12.5,18.8,69,0,11.1,Cloudy,Winter
2020-01-08,South 24 Parganas,22.1602,88.4373,24.4,14.8,19.6,67,0,9.2,Sunny,Winter
2020-01-08,Nadia,23.4709,88.5564,26.0,12.0,19.0,65,0,13.7,Cloudy,Winter
2020-01-08,Murshidabad,24.1833,88.2833,26.6,15.6,21.1,69,1.0,9.6,Drizzle,Winter
2020-01-08,Bardhaman East,23.2324,87.8615,23.2,12.3,17.8,67,0,9.0,Partly Cloudy,Winter
2020-01-08,Bardhaman West,23.5522,87.3784,26.8,15.9,21.4,66,0,8.5,Sunny,Winter
2020-01-08,Birbhum,23.8404,87.6186,26.2,15.3,20.8,65,1.8,8.7,Drizzle,Winter
2020-01-08,Malda,25.0096,88.1413,26.7,12.1,19.4,71,0,12.3,Sunny,Winter
2020-01-08,Uttar Dinajpur,25.622,88.1413,23.9,13.5,18.7,64,0,9.9,Sunny,Winter
2020-01-08,Dakshin Dinajpur,25.2195,88.7749,23.8,15.9,19.9,69,0,10.3,Sunny,Winter
2020-01-08,Jalpaiguri,26.5263,88.7184,20.6,11.9,16.2,67,0,12.9,Cloudy,Winter
2020-01-08,Darjeeling,27.041,88.2663,12.8,3.0,7.9,72,0,11.4,Partly Cloudy,Winter
2020-01-08,Alipurduar,26.4911,89.5276,19.7,11.1,15.4,63,0,11.2,Cloudy,Winter
2020-01-08,Cooch Behar,26.324,89.445,24.6,12.7,18.6,68,0.3,13.1,Partly Cloudy,Winter
2020-01-08,Bankura,23.2324,87.0696,21.1,10.5,15.8,63,0,12.2,Sunny,Winter
2020-01-08,Purulia,23.3321,86.3616,22.8,10.4,16.6,70,0,12.2,Sunny,Winter
2020-01-08,Paschim Medinipur,22.4291,87.3219,21.6,11.0,16.3,65,0,11.4,Sunny,Winter
2020-01-08,Purba Medinipur,22.0209,87.7698,26.3,14.6,20.4,71,1.4,13.5,Drizzle,Winter
2020-01-08,Jhargram,22.4534,86.9851,21.0,10.6,15.8,70,0.1,11.9,Partly Cloudy,Winter
2020-01-08,Kalimpong,27.0594,88.4686,13.8,5.3,9.6,64,0,11.5,Cloudy,Winter
2020-01-09,Kolkata,22.5726,88.3639,26.0,13.0,19.5,67,0,12.8,Sunny,Winter
2020-01-09,Howrah,22.5958,88.2636,23.9,12.5,18.2,73,0,9.2,Sunny,Winter
2020-01-09,Hooghly,22.9089,88.3967,23.5,12.3,17.9,72,0,8.3,Sunny,Winter
2020-01-09,North 24 Parganas,22.6157,88.4332,26.5,13.7,20.1,72,0,10.4,Sunny,Winter
2020-01-09,South 24 Parganas,22.1602,88.4373,26.7,14.6,20.6,71,0,10.4,Partly Cloudy,Winter
2020-01-09,Nadia,23.4709,88.5564,24.6,13.3,19.0,69,0,13.6,Sunny,Winter
2020-01-09,Murshidabad,24.1833,88.2833,26.0,14.6,20.3,67,1.5,10.9,Drizzle,Winter
2020-01-09,Bardhaman East,23.2324,87.8615,25.6,12.7,19.1,64,0,8.0,Partly Cloudy,Winter
2020-01-09,Bardhaman West,23.5522,87.3784,24.7,12.8,18.8,65,0.3,11.0,Partly Cloudy,Winter
2020-01-09,Birbhum,23.8404,87.6186,25.2,15.6,20.4,70,0,13.5,Sunny,Winter
2020-01-09,Malda,25.0096,88.1413,26.7,12.8,19.8,71,1.4,11.7,Drizzle,Winter
2020-01-09,Uttar Dinajpur,25.622,88.1413,26.9,13.0,19.9,63,0,12.2,Sunny,Winter
2020-01-09,Dakshin Dinajpur,25.2195,88.7749,24.7,15.9,20.3,65,0.8,12.7,Drizzle,Winter
2020-01-09,Jalpaiguri,26.5263,88.7184,18.5,11.7,15.1,72,0,10.9,Sunny,Winter
2020-01-09,Darjeeling,27.041,88.2663,12.9,3.3,8.1,67,0.6,9.8,Drizzle,Winter
2020-01-09,Alipurduar,26.4911,89.5276,20.9,10.7,15.8,68,0,13.6,Sunny,Winter
2020-01-09,Cooch Behar,26.324,89.445,26.8,15.1,20.9,63,0,14.0,Cloudy,Winter
2020-01-09,Bankura,23.2324,87.0696,24.2,12.0,18.1,68,0.3,12.7,Sunny,Winter
2020-01-09,Purulia,23.3321,86.3616,24.6,12.0,18.3,65,0.3,10.3,Sunny,Winter
2020-01-09,Paschim Medinipur,22.4291,87.3219,22.2,13.4,17.8,67,0,11.1,Partly Cloudy,Winter
2020-01-09,Purba Medinipur,22.0209,87.7698,25.3,15.2,20.2,70,0,12.2,Sunny,Winter
2020-01-09,Jhargram,22.4534,86.9851,21.4,12.1,16.8,68,0,12.2,Cloudy,Winter
2020-01-09,Kalimpong,27.0594,88.4686,13.3,4.0,8.7,63,1.0,8.4,Drizzle,Winter
2020-01-10,Kolkata,22.5726,88.3639,25.8,16.0,20.9,72,0.7,8.9,Drizzle,Winter
2020-01-10,Howrah,22.5958,88.2636,25.7,12.8,19.2,75,0,11.7,Sunny,Winter
2020-01-10,Hooghly,22.9089,88.3967,25.6,14.0,19.8,69,0,13.0,Sunny,Winter
2020-01-10,North 24 Parganas,22.6157,88.4332,26.6,15.8,21.2,68,1.9,9.1,Drizzle,Winter
2020-01-10,South 24 Parganas,22.1602,88.4373,23.1,14.9,19.0,69,0,11.7,Cloudy,Winter
2020-01-10,Nadia,23.4709,88.5564,25.4,12.1,18.8,72,0,13.4,Sunny,Winter
2020-01-10,Murshidabad,24.1833,88.2833,23.4,12.9,18.1,65,0.4,9.6,Cloudy,Winter
2020-01-10,Bardhaman East,23.2324,87.8615,24.3,14.3,19.3,68,0.5,8.8,Cloudy,Winter
2020-01-10,Bardhaman West,23.5522,87.3784,24.0,14.3,19.1,72,1.3,8.3,Drizzle,Winter
2020-01-10,Birbhum,23.8404,87.6186,24.1,13.0,18.6,71,0,13.4,Sunny,Winter
2020-01-10,Malda,25.0096,88.1413,24.1,13.9,19.0,69,1.7,11.1,Drizzle,Winter
2020-01-10,Uttar Dinajpur,25.622,88.1413,26.4,14.8,20.6,63,0.1,9.7,Cloudy,Winter
2020-01-10,Dakshin Dinajpur,25.2195,88.7749,25.1,13.8,19.5,67,0,12.3,Partly Cloudy,Winter
2020-01-10,Jalpaiguri,26.5263,88.7184,20.3,10.1,15.2,63,0.5,13.9,Sunny,Winter
2020-01-10,Darjeeling,27.041,88.2663,12.8,4.0,8.4,64,0,11.3,Partly Cloudy,Winter
2020-01-10,Alipurduar,26.4911,89.5276,18.0,10.2,14.1,68,0.5,13.4,Partly Cloudy,Winter
2020-01-10,Cooch Behar,26.324,89.445,26.9,14.0,20.4,67,0,13.4,Sunny,Winter
2020-01-10,Bankura,23.2324,87.0696,21.8,13.9,17.9,63,0,13.0,Cloudy,Winter
2020-01-10,Purulia,23.3321,86.3616,22.5,12.4,17.4,71,0,14.0,Partly Cloudy,Winter
2020-01-10,Paschim Medinipur,22.4291,87.3219,23.7,12.8,18.2,69,0,8.9,Sunny,Winter
2020-01-10,Purba Medinipur,22.0209,87.7698,24.7,12.5,18.6,72,1.2,9.7,Drizzle,Winter
2020-01-10,Jhargram,22.4534,86.9851,22.3,12.2,17.2,71,0,12.6,Partly Cloudy,Winter
2020-01-10,Kalimpong,27.0594,88.4686,11.6,3.8,7.7,71,1.9,13.6,Drizzle,Winter
2020-01-11,Kolkata,22.5726,88.3639,24.3,14.1,19.2,70,2.4,10.5,Drizzle,Winter
2020-01-11,Howrah,22.5958,88.2636,26.4,16.0,21.2,68,0,13.5,Partly Cloudy,Winter
2020-01-11,Hooghly,22.9089,88.3967,23.5,12.7,18.1,71,0.6,10.8,Drizzle,Winter
2020-01-11,North 24 Parganas,22.6157,88.4332,24.6,13.7,19.1,68,0,11.8,Sunny,Winter
2020-01-11,South 24 Parganas,22.1602,88.4373,27.0,13.3,20.1,69,1.1,13.1,Drizzle,Winter
2020-01-11,Nadia,23.4709,88.5564,24.8,15.2,20.0,70,0,12.0,Sunny,Winter
2020-01-11,Murshidabad,24.1833,88.2833,24.0,12.2,18.1,65,0.4,8.1,Sunny,Winter
2020-01-11,Bardhaman East,23.2324,87.8615,25.8,15.8,20.8,67,0.2,13.4,Partly Cloudy,Winter
2020-01-11,Bardhaman West,23.5522,87.3784,23.1,14.5,18.8,71,1.1,13.6,Drizzle,Winter
2020-01-11,Birbhum,23.8404,87.6186,23.8,13.7,18.8,70,0,13.3,Cloudy,Winter
2020-01-11,Malda,25.0096,88.1413,26.4,12.9,19.6,69,0,8.3,Cloudy,Winter
2020-01-11,Uttar Dinajpur,25.622,88.1413,24.1,12.4,18.2,70,0,8.8,Partly Cloudy,Winter
2020-01-11,Dakshin Dinajpur,25.2195,88.7749,24.6,13.6,19.1,68,0,11.5,Sunny,Winter
2020-01-11,Jalpaiguri,26.5263,88.7184,17.9,10.6,14.2,73,5.7,10.0,Light Rain,Winter
2020-01-11,Darjeeling,27.041,88.2663,14.6,5.9,10.2,68,0.3,10.3,Cloudy,Winter
2020-01-11,Alipurduar,26.4911,89.5276,18.3,11.4,14.9,65,0,10.9,Sunny,Winter
2020-01-11,Cooch Behar,26.324,89.445,25.1,16.0,20.6,66,0,8.3,Sunny,Winter
2020-01-11,Bankura,23.2324,87.0696,23.7,12.3,18.0,70,0.5,10.1,Sunny,Winter
2020-01-11,Purulia,23.3321,86.3616,22.6,10.4,16.5,66,0,11.4,Sunny,Winter
2020-01-11,Paschim Medinipur,22.4291,87.3219,24.8,10.4,17.6,63,2.6,13.9,Drizzle,Winter
2020-01-11,Purba Medinipur,22.0209,87.7698,26.2,15.1,20.6,68,0,9.0,Cloudy,Winter
